"elevation","genus","area","herbivory","diversity","plotID"
"high","Piper",400,76,4,1
"high","Piper",133.3,5,2,2
"high","Piper",171.5277778,3,2,3
"high","Piper",38,0,0,4
"high","Piper",825,1,2,5
"high","Piper",900,5,3,6
"high","Piper",710.4166667,20,4,7
"high","Piper",240,60,4,8
"high","Piper",177.0833333,17,4,9
"high","Piper",201.3888889,3,2,10
"high","Piper",116.6666667,17,3,11
"high","Piper",400,0,0,12
"high","Piper",162.5,0,0,13
"high","Piper",170,5,1,14
"high","Piper",1000,5,2,15
"high","Piper",575,85,3,16
"high","Piper",361.1111111,15,4,17
"high","Piper",281.9444444,25,4,18
"high","Piper",408.3333333,27,4,19
"high","Piper",240,15,3,20
"high","Piper",520,65,5,21
"high","Piper",503.4722222,60,2,22
"high","Piper",88.88888889,2,2,23
"high","Piper",88.88888889,1,1,24
"high","Piper",350,45,5,25
"high","Piper",116.6,60,3,26
"high","Piper",409.0277778,35,5,27
"high","Piper",141.6666667,0,0,28
"high","Piper",63.19444444,2,2,29
"high","Miconia",16.6,15,3,1
"high","Miconia",70.8,45,4,2
"high","Miconia",12.5,5,2,3
"high","Miconia",87.5,1,2,4
"high","Miconia",54.1,25,4,5
"high","Miconia",283.3333333,12,2,6
"high","Miconia",80,20,3,7
"high","Miconia",230,70,4,8
"high","Miconia",29.16666667,5,2,9
"high","Miconia",311.1111111,2,3,10
"high","Miconia",41.66666667,1,1,11
"high","Miconia",77.77777778,4,3,12
"high","Miconia",833.3333333,1,2,13
"high","Miconia",81.25,15,3,14
"high","Miconia",140,15,2,15
"high","Miconia",79.16,22,5,16
"high","Miconia",48.61111111,10,2,17
"high","Miconia",58.33333333,32,3,18
"high","Miconia",333.3333333,27,5,19
"high","Miconia",416.6666667,13,3,20
"high","Miconia",138.8888889,3,3,21
"high","Miconia",16.66666667,0,0,22
"high","Miconia",46.6,25,5,23
"high","Miconia",24.30555556,0,0,24
"high","Miconia",38.19444444,0.5,1,25
"high","Miconia",262.5,4,3,26
