plot_num,elevation,leaf_area,herbivory,survival
1,high,223.9340899,1,0
2,high,241.1444509,1,0
3,high,238.8826285,2,0
4,high,232.0277776,2,0
5,high,247.5750025,0,1
6,high,223.0350041,0,0
7,high,241.9685022,1,0
8,high,201.4209561,0,0
9,high,224.1858531,1,0
10,high,218.1735241,2,0
11,high,213.8530108,0,1
12,high,227.9870828,2,0
13,high,218.4115277,0,1
14,high,217.1436161,1,0
15,high,219.5362187,0,1
16,high,233.8518754,1,0
17,high,248.4062591,1,0
18,high,221.2045192,0,0
19,high,227.4765427,1,0
20,high,227.5429654,0,0
21,high,235.3577806,1,1
22,high,223.6971391,1,0
23,high,230.0554591,0,1
24,high,218.9193269,0,0
25,high,217.3493059,0,0
26,high,220.512098,1,0
27,high,230.4665944,1,0
28,high,227.0012447,0,0
29,high,215.6307155,0,0
30,high,223.9131214,2,0
31,high,215.6950921,0,1
32,high,200.1617198,0,0
33,high,231.854379,1,0
34,high,231.0273345,0,0
35,high,228.5111675,1,0
36,high,216.35071,0,0
37,high,226.1610091,1,0
38,high,211.7190896,1,0
39,high,218.5447559,0,0
40,high,220.7018081,0,0
41,high,224.4569331,1,0
42,high,230.9381574,0,1
43,high,219.7701782,2,0
44,high,219.6076165,1,0
45,high,213.1129889,0,0
46,high,208.9755314,0,0
47,high,231.6221295,1,0
48,high,245.4473786,0,0
49,high,235.1771365,0,0
50,high,214.3385908,0,0
51,high,225.4341056,2,0
52,high,237.1791821,1,0
53,high,227.8549057,0,1
54,high,219.054385,1,0
55,high,228.5752562,1,0
56,high,230.8851597,0,1
57,high,220.5187902,0,1
58,high,225.0895838,0,1
59,high,219.6584435,0,1
60,high,223.4774527,0,1
61,high,239.6186832,2,0
62,high,229.7886452,1,1
63,high,218.1290915,1,0
64,high,237.7585404,0,0
65,high,231.3197972,0,1
66,high,223.6571475,1,0
67,high,236.6568561,2,0
68,high,213.6713231,1,0
69,high,227.4809801,2,0
70,high,199.1947863,1,0
71,high,226.9965385,0,0
72,high,212.5136956,1,0
73,high,220.4063449,1,0
74,high,219.2520314,1,0
75,high,213.9397349,0,0
76,high,222.2626182,0,1
77,high,245.0445127,0,0
78,high,221.4576181,0,0
79,high,223.9098248,2,0
80,high,200.2534357,0,1
81,high,228.6277621,1,0
82,high,230.377896,0,0
83,high,229.8061845,2,0
84,high,209.7951679,1,0
85,high,232.2659845,0,0
86,high,230.540378,0,1
87,high,236.0616927,0,0
88,high,222.2768024,1,0
89,high,230.4982098,0,0
90,high,219.858162,0,1
91,high,236.2454763,1,0
92,high,219.1919099,1,0
93,high,224.1481986,1,0
94,high,223.0236341,1,0
95,high,215.8498553,2,1
96,high,230.0663829,1,0
97,high,219.6478238,2,0
98,high,220.0211971,0,1
99,high,221.6218464,1,0
100,high,250.0841811,2,0
101,low,222.3874614,2,0
102,low,246.290118,1,1
103,low,226.9909276,2,0
104,low,210.1867188,1,0
105,low,235.1495379,1,0
106,low,235.712522,0,1
107,low,235.4263681,1,0
108,low,225.97782,1,1
109,low,248.2217679,2,0
110,low,235.0839368,0,1
111,low,233.8128021,1,1
112,low,241.9972137,2,0
113,low,246.5572051,2,0
114,low,226.4522892,2,0
115,low,223.9053091,1,0
116,low,225.222676,2,0
117,low,223.1540462,2,0
118,low,215.2080447,1,0
119,low,218.1262825,0,0
120,low,230.6563176,2,0
121,low,233.3209864,1,0
122,low,214.4860887,1,1
123,low,235.8683182,2,0
124,low,259.2070129,2,0
125,low,233.6054906,1,1
126,low,244.4770525,2,0
127,low,233.4684583,2,0
128,low,221.5073793,2,1
129,low,229.761481,2,0
130,low,234.2078652,2,1
131,low,229.8630624,2,0
132,low,229.7240776,2,0
133,low,229.801618,1,1
134,low,234.5849237,2,1
135,low,233.4514886,2,0
136,low,225.3501613,2,0
137,low,224.4842606,1,1
138,low,243.0908795,1,1
139,low,234.3398962,2,0
140,low,222.7210903,2,0
141,low,246.9550354,2,0
142,low,216.8486855,1,1
143,low,246.3051374,1,0
144,low,228.3344536,0,1
145,low,229.0457799,1,1
146,low,234.9262331,2,1
147,low,245.0593833,2,0
148,low,239.1503827,1,1
149,low,229.4032764,2,0
150,low,233.2787424,2,1
151,low,214.2123584,2,0
152,low,230.0629986,2,0
153,low,243.0422263,1,0
154,low,234.0899133,0,1
155,low,239.7422796,0,1
156,low,225.4010343,2,1
157,low,231.9805824,2,0
158,low,230.6718326,1,1
159,low,242.4543646,0,0
160,low,238.9013184,0,1
161,low,218.5472707,1,1
162,low,220.0032853,2,1
163,low,239.5431441,2,0
164,low,226.33893,2,0
165,low,215.3664783,0,1
166,low,225.249185,2,0
167,low,229.2680705,2,1
168,low,234.3611457,1,1
169,low,235.4550397,2,0
170,low,230.2943403,2,1
171,low,225.0156751,2,0
172,low,226.7956575,2,0
173,low,239.0661949,2,1
174,low,241.6744004,1,0
175,low,225.660056,2,1
176,low,231.4486132,2,0
177,low,238.2590632,1,0
178,low,241.1180166,2,0
179,low,252.6027019,2,1
180,low,236.7155613,0,1
181,low,206.5731194,2,0
182,low,222.4728964,1,0
183,low,240.2679752,2,0
184,low,216.1081573,1,0
185,low,218.8057867,1,1
186,low,217.756946,2,1
187,low,222.5112865,2,0
188,low,239.5408845,2,0
189,low,239.7348849,1,1
190,low,231.0163561,2,0
191,low,250.7406824,2,0
192,low,225.4600159,2,0
193,low,211.8486676,2,1
194,low,239.9444105,1,0
195,low,226.8626833,1,0
196,low,239.9382459,2,1
197,low,223.2646615,0,1
198,low,219.6681765,2,0
199,low,222.4671187,0,1
200,low,232.4860771,0,0
