"plot_num","elevation","leaf_area","herbivory","survival"
1,"high",223.934089916375,1,0
2,"high",241.144450919583,1,0
3,"high",238.88262845883,2,0
4,"high",232.027777587591,2,0
5,"high",247.575002480432,0,1
6,"high",223.035004104157,0,0
7,"high",241.968502165339,1,0
8,"high",201.420956110968,0,0
9,"high",224.185853104878,1,0
10,"high",218.173524053667,2,0
11,"high",213.853010802861,0,1
12,"high",227.987082776962,2,0
13,"high",218.41152767404,0,1
14,"high",217.14361606051,1,0
15,"high",219.536218723027,0,1
16,"high",233.85187542991,1,0
17,"high",248.406259099682,1,0
18,"high",221.204519185791,0,0
19,"high",227.476542707229,1,0
20,"high",227.542965373434,0,0
21,"high",235.357780567689,1,1
22,"high",223.697139125559,1,0
23,"high",230.055459136705,0,1
24,"high",218.919326877135,0,0
25,"high",217.349305901894,0,0
26,"high",220.51209801438,1,0
27,"high",230.466594374978,1,0
28,"high",227.001244657906,0,0
29,"high",215.630715544925,0,0
30,"high",223.913121438268,2,0
31,"high",215.695092122896,0,1
32,"high",200.161719837349,0,0
33,"high",231.854378957698,1,0
34,"high",231.027334478126,0,0
35,"high",228.5111675011,1,0
36,"high",216.350709967537,0,0
37,"high",226.161009076583,1,0
38,"high",211.719089577317,1,0
39,"high",218.544755874211,0,0
40,"high",220.701808086268,0,0
41,"high",224.456933091676,1,0
42,"high",230.938157420266,0,1
43,"high",219.770178235824,2,0
44,"high",219.607616470932,1,0
45,"high",213.112988878106,0,0
46,"high",208.975531367191,0,0
47,"high",231.62212948954,1,0
48,"high",245.447378618894,0,0
49,"high",235.177136546771,0,0
50,"high",214.33859081626,0,0
51,"high",225.434105615341,2,0
52,"high",237.179182130179,1,0
53,"high",227.854905681604,0,1
54,"high",219.054384956553,1,0
55,"high",228.575256154543,1,0
56,"high",230.885159650793,0,1
57,"high",220.51879016271,0,1
58,"high",225.089583799324,0,1
59,"high",219.658443476514,0,1
60,"high",223.477452652767,0,1
61,"high",239.618683244541,2,0
62,"high",229.788645195895,1,1
63,"high",218.129091475841,1,0
64,"high",237.758540397335,0,0
65,"high",231.319797211718,0,1
66,"high",223.657147469884,1,0
67,"high",236.656856132048,2,0
68,"high",213.67132305413,1,0
69,"high",227.480980082709,2,0
70,"high",199.194786298189,1,0
71,"high",226.996538502415,0,0
72,"high",212.513695645695,1,0
73,"high",220.406344876642,1,0
74,"high",219.252031429618,1,0
75,"high",213.939734857448,0,0
76,"high",222.262618160683,0,1
77,"high",245.044512744225,0,0
78,"high",221.457618080249,0,0
79,"high",223.909824834522,2,0
80,"high",200.253435680185,0,1
81,"high",228.627762065636,1,0
